,Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Intestinal infectious diseases - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Parkinson disease - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number)
5657,Sub-Saharan Africa,,2003,,198673.2488628946,815407.2288743756,20723.2163572,201947.93196261156,555.0,735480.3601170912,62256.409910737406,82259.94424089926,140090.43268359106,140979.4483250072,242138.2115053029,17529.04274640172,375373.20421961055,9084.552333121579,26365.20476722616,823287.2434511661,44932.691869260256,70698.72914362814,1508851.641059203,6666.052040164233,477340.4849415786,153959.49771023198,96169.96985490034,747001.7347056331,7801.244385270314,478.2208423703634,714788.2601705595,5811.6805874884885,207945.52691209232,54218.664202389744,29798.547123512413,98579.91321379873,10417.512297274883
5658,Sub-Saharan Africa,,2004,,193963.09795645718,806184.16638305,20752.338387599997,197065.80674293745,317.0,739544.2208688874,63902.973689995975,82925.64831907327,140633.92943592687,142654.8704747766,244421.7371607669,17622.395027312257,381621.28620519687,9304.723637532656,26352.740728481567,824757.8243618305,44841.08738494766,71941.07405145359,1561578.0408154924,6577.275379525816,471928.24678752007,155108.01626858706,97131.03908165699,750679.8682964245,7805.327393932346,959.5078816207766,707033.4863070169,5839.751590997129,202799.91329099206,54730.254472009314,21547.190523011144,100587.41064156992,10440.872498149663
5659,Sub-Saharan Africa,,2005,,189256.3372266677,795208.7248010625,20967.1335182,192592.91582548807,379.0,742720.0651549952,65575.03882006647,83272.33262689647,140808.80345531786,143999.82638255125,246271.32904563358,17731.953654020348,386612.9071132359,9520.826129208468,26156.313407310117,818808.1097494748,44614.44284652206,68428.8928491796,1590602.8645022598,6404.073237246034,463035.30243980006,155417.14905635902,97032.7521568204,752980.366930928,7806.648103704923,479.2377097560054,701538.4892553856,5846.316448169054,198097.88501519448,54902.71005753399,17229.44083602546,102548.63987290676,10437.449864929618
5660,Sub-Saharan Africa,,2006,,190625.06235808812,794225.9020926657,21322.924660499997,189029.22593565076,972.0,750770.1239429716,67416.932473881,84513.48493993594,142038.606228094,145158.8461343748,249901.41104747503,17671.308423744533,394407.7921006709,9777.240723076287,26335.62002071744,805717.3897310449,45226.616446123466,69037.95106411005,1593710.7973599024,6292.580146079169,459114.4662925624,157493.9944866205,97702.49562801713,755469.4251443758,7870.977376541676,1470.8389397176993,706729.599976316,5953.768538295601,194352.2553043205,55397.50938154828,6128.105386001324,105271.48826619446,10568.2367080711
5661,Sub-Saharan Africa,,2007,,188073.27771519762,786934.2479030971,21662.258963999997,184478.38326812247,1383.0,755955.4972026014,69169.1573986038,85340.6795411426,142454.1486868866,145777.31384508748,252326.42808152887,17518.89004733242,401169.2300737007,10024.38663589125,26355.152534021818,794626.976677775,45111.253775648176,67125.83533507113,1566796.9500848253,6095.210289871057,451869.42481765937,158152.42306835513,98013.42220937448,756647.151406642,7915.820212571741,694.1362030438696,699931.3470609995,5950.1666431249805,189615.09135799264,55549.85796891021,6696.987920492393,107572.91721853318,10614.553722350842
5662,Sub-Saharan Africa,,2008,,181599.31232137763,771793.8090632609,21572.0236561,178865.9269659745,1475.0,762296.616940851,71059.08477143616,86219.2609814734,142974.54037241905,146567.51112652346,254766.37552384703,17363.607805113832,408978.7135260932,10282.397766434537,26096.000476561334,778184.2791991438,44555.10143952298,66911.7873292134,1503121.486123646,5925.275785709516,444560.64740401,157338.23867210766,98072.52441789165,754970.4828068591,7986.059799509038,603.7773716727665,692825.2891574989,5920.085158284294,183833.176905908,55905.48004749653,12033.508477184008,109726.63477049136,10618.39098684655
5663,Sub-Saharan Africa,,2009,,178648.06010721796,762014.849718134,21783.1140418,175523.53627583428,1731.0,770193.9131417527,73080.7080646646,87407.63213550106,143830.3881998836,147874.7640213084,257977.4564861708,17323.420010907692,418372.4187508843,10560.54403384297,25930.05288647733,740475.6187017901,44440.78467790122,67037.14748967854,1431651.3013854472,5917.1180897187105,437556.8367758382,157248.86211185798,98371.51989513454,753299.3176307969,8117.995192583319,607.5927075763814,694495.5294723327,5923.479347748636,180384.20691280905,56225.2700933804,17692.802865629266,112155.44618631508,10675.230952208336
5664,Sub-Saharan Africa,,2010,,174188.17821527075,749840.4662446517,21920.3383143,181387.62760973632,830.0,777465.7070313276,75270.99974469484,88693.08630284504,144607.7633812181,149658.7557117863,261569.6992941511,17297.55133925988,428666.63276407094,10859.833304670205,25784.90718459345,699861.0970380559,43993.62362933455,65569.59984132183,1340524.8289062465,6009.0722130066615,428531.4126595052,156985.62400359794,98112.59346665461,749827.3395350722,8306.973540027953,1082.442435383282,686004.0462880392,5908.888529909975,186131.95289111827,56596.03684221063,8504.692903947844,114665.30921585321,10886.471960881858
5665,Sub-Saharan Africa,,2011,,172149.54786484357,739451.6865433509,22008.031479400004,174935.74998929366,1237.0,786392.4273353476,77632.48474068665,90028.41349182131,145658.47984606386,149096.71378129,265074.64524172136,17177.1591076239,438775.83084939007,11162.5903736892,25696.30562235273,669206.5258030518,43729.8449001001,65766.46356748213,1236741.0812565482,6111.362465899174,420859.82219635264,156602.1659164007,96679.80225858744,745108.392509618,8516.098665396803,776.1342090515183,650842.1761265129,5952.648416983476,179504.14260648246,56715.764812761365,9388.076388313537,116924.53613415449,10730.499494995389
5666,Sub-Saharan Africa,,2012,,169219.49219514136,731403.8972283469,22521.0833273,159321.86769259983,2996.0,798344.8843303269,80192.49927745009,91769.36259569287,147228.26652716225,149118.10786130832,269013.4437047905,17109.488742881014,450693.7035300308,11503.75029211332,25733.044411105326,645134.460205866,43706.545550551076,64476.47643729926,1132663.2683659557,6300.223913620744,415735.1200074861,157189.40585680152,94742.67188226453,740446.4873774893,8770.267072176628,850.1692518485835,621464.4220243506,6007.354732228783,163772.50827077354,57316.987212453474,11679.964626206864,119707.21615382339,10848.264442700107
