Entity,1990death_share,1991death_share,1992death_share,1993death_share,1994death_share,1995death_share,1996death_share,1997death_share,1998death_share,1999death_share,2000death_share,2001death_share,2002death_share,2003death_share,2004death_share,2005death_share,2006death_share,2007death_share,2008death_share,2009death_share,2010death_share,2011death_share,2012death_share,2013death_share,2014death_share,2015death_share,2016death_share,2017death_share,ISO_A3
Papua New Guinea,0.0008702375836461,0.0019444530444778,0.0042490863858522,0.0089388838963787,0.0180191894688404,0.0540507196616541,0.1157220502222653,0.1985937401031418,0.3055210784128481,0.4978951598425212,0.7431233558445892,1.0535749687409652,1.425594340809041,1.842640437744924,2.281793109146936,2.7105210491313843,3.060403017645218,3.259019340903456,3.32094914933754,3.293149426858266,3.2055470448717114,3.034941969914945,2.7690300813798263,2.450311265569914,2.076279415673272,1.8240557481726385,1.6772939416821393,1.552228934107456,PNG
Paraguay,0.1825501881423489,0.2118787632472026,0.2340647494568514,0.2491123381273327,0.2779857981877414,0.3193506169071201,0.361790139470706,0.4233740294535966,0.4845814970758189,0.5586892810278546,0.6505694714752562,0.7672976919209787,0.8951544543156303,1.020497316662374,1.1525989872442983,1.3003445102966895,1.3075003648931005,1.3200360923934351,1.3951337262644563,1.444733282119151,1.5478180850301082,1.842564941709405,2.1230829412320342,2.2335302839351425,2.3715137253407925,2.470420806876338,2.4540180723038563,2.339557659708126,PRY
Peru,0.3001851480225815,0.3480324528711161,0.3851254553323719,0.4346986027348953,0.49918968811297,0.5623721234890564,0.6563327602216872,0.7629488579891229,0.8834540300577322,1.066022997622549,1.2262745792798122,1.4179237417017097,1.5184929037411332,1.5079956558106515,1.5509397633785609,1.6069298547567346,1.5929939969028564,1.4337007385782272,1.291637724492319,1.2063230170153123,1.1083096319835826,1.1013440572659876,1.2340984700631945,1.4699622695707788,1.6772872749087504,1.7950719278859792,1.7773451211009526,1.696636651697936,PER
Philippines,0.2996484893308043,0.3302401387860028,0.823706249875001,0.8068828321102179,0.7672483768618275,0.7585194465353406,0.7425805174954414,0.6602263929823519,0.6575948439819232,0.844963258893428,0.807187834259961,0.8184807433071064,0.9143264552007512,0.9523103876722324,0.9076958638648494,0.8869636083056714,0.9285303031009332,0.90145895427559,0.8443158125180249,0.8284568720253823,0.7370828922822991,0.7667292263958272,0.7039658767613336,0.6592345425991587,0.6360144641482738,0.6777311110634242,0.6477324737507244,0.6297137442108784,PHL
Poland,0.0171212339955395,0.0178991443507906,0.0197756631859738,0.0220768662605663,0.024003245640308,0.0258086680714514,0.0285685996626963,0.031198098376765,0.0348693377900303,0.0411903647199276,0.0444679534627443,0.0387715489700515,0.0465967640470554,0.0433548851588177,0.0460653539037961,0.0440665904678543,0.0368791631571097,0.043370352878194,0.050325839740617,0.0349449438327888,0.0451064492970195,0.0436168951049757,0.0393673343185045,0.0360595520277935,0.0351601487345475,0.0429999874952798,0.0377624998103218,0.0364192389097732,POL
Portugal,0.1879000351894836,0.2690949126452471,0.4105409728616425,0.5142869371714057,0.7851567814795481,1.0526668283636391,1.241683971978938,1.108712380626513,1.057809570781443,1.132387717726944,1.0901451535999551,1.050423628105221,1.007154183471454,0.9798575996623794,0.9525222495242364,0.9851577153591994,0.8796206426000671,0.8671812230353826,0.7906645486139974,0.7145650697361184,0.6753964512614273,0.6127402758397242,0.522312386974227,0.4776005891149116,0.4005597055610516,0.480096079717219,0.4624513469413099,0.4419369301476976,PRT
Puerto Rico,3.5955546723706044,4.1430825838135865,4.521731911528507,4.475390983939509,5.893823230321696,5.627257365321952,5.135597335713114,3.2973223526276194,2.491138738886236,2.604757256641238,2.445928128382329,2.6605254087895,2.2557322676622347,1.8997187840084775,1.954642331485449,1.9091407787962529,1.7347797948996857,1.4637604693865536,1.495109899224748,1.3373085521662016,1.2298588002751336,1.007842093947191,0.856516041465735,0.8227719144281637,0.8439598078646228,0.7309114637486898,0.775826051234706,0.6907942036169211,PRI
Qatar,0.2470633333592536,0.2805418814725347,0.3120217449299259,0.3420790106394514,0.3701155549093516,0.3899345172415436,0.3941407987105433,0.3944295171926476,0.3941096695580294,0.3960525355583491,0.3476058440628781,0.2852936515381213,0.2195402806463711,0.2324969242341929,0.2245700413490524,0.2178683977305245,0.2223582230415476,0.2264407140486654,0.2329363306454761,0.2446306434447971,0.2422327663927992,0.2338690527309385,0.2241689469356802,0.2153729359204599,0.2020798322587677,0.1989827317294226,0.1935902375068364,0.1871627727253145,QAT
Romania,0.0835734950637972,0.0666098773855374,0.0705561558447993,0.1022095693989861,0.1447928558262495,0.1625075070924088,0.1829021531097259,0.215854438206879,0.2211627624293995,0.1895023744937672,0.194003042971805,0.1869196757919957,0.1327038609875374,0.0973922093737558,0.0865836498332247,0.0722107040360116,0.0671401268292452,0.0528416990653509,0.0508116712247644,0.0427454285919478,0.0431051065362626,0.063808571460779,0.0600863000106337,0.0593486389831647,0.0736740699366391,0.0618711102716495,0.0772614693356639,0.0633882378534838,ROU
Russia,0.19051183204106,0.199839414217104,0.2065510957901588,0.2149509640525711,0.2332726650636037,0.259347820636109,0.2966143104749841,0.3075860479103112,0.2848880811173329,0.3352525080007861,0.3349838893669898,0.3214920782711036,0.3405449893437201,0.3479480091458526,0.3682748201168787,0.3750030725958111,0.4084847565350835,0.4689618491657654,0.5044657905466028,0.5607096901373908,0.5764259856667845,0.7234677277278007,0.7485328805845871,0.8338715576631828,0.8995234984035233,1.096395297128401,1.2885046244605962,1.0520424149950511,RUS
