Entity,1990_death_rate,1991_death_rate,1992_death_rate,1993_death_rate,1994_death_rate,1995_death_rate,1996_death_rate,1997_death_rate,1998_death_rate,1999_death_rate,2000_death_rate,2001_death_rate,2002_death_rate,2003_death_rate,2004_death_rate,2005_death_rate,2006_death_rate,2007_death_rate,2008_death_rate,2009_death_rate,2010_death_rate,2011_death_rate,2012_death_rate,2013_death_rate,2014_death_rate,2015_death_rate,2016_death_rate,2017_death_rate,ISO_A3
Saint Vincent and the Grenadines,17.737784478441398,12.488832241835016,13.88937026604393,16.188923478616196,18.82555489437296,21.329565326973096,29.120486515905604,24.46159470635049,22.637392686119163,27.50627931104482,34.51120031509095,29.749195012575985,29.40540266657048,26.020649964925045,25.55184733873789,22.860184972928383,22.72494001440674,20.43038405374442,17.83333282142568,17.599660091436448,17.816750976763657,15.74265646333732,15.4484742309399,16.133436153217087,19.742303846926426,21.210789666598487,17.06070450234262,16.285429065742626,VCT
Samoa,1.1850299355489442,1.6115627999192346,2.053601960137252,2.4310509947283125,2.731468915114466,2.9389991647367864,3.067677280920066,3.1487331099271905,3.1932161179600995,3.217624006544077,3.2223405994918024,3.2126387581335187,3.2019490840767557,3.1968224817325845,3.2070235497708164,3.23959172165309,3.3041115368759155,3.355963642878792,3.492078139363473,3.6543022468477946,3.7296255883609417,3.7899798051030023,3.884553773489475,4.085311952317148,4.382483044109808,4.69737854147634,5.051209157920647,5.3182109823125225,WSM
Sao Tome and Principe,0.3291578725755674,0.4162483568609068,0.5166226656367872,0.6194498904850864,0.719894019365378,0.8090869351113267,0.8798229342511226,0.9301666332272644,0.9612802719680624,0.9784651776439108,0.9877696839556792,0.9943283506618718,1.000433365428435,1.007428500283665,1.0155569111300835,0.9102010753053646,0.6286842359913407,0.3578320330790762,0.2982752822366857,0.2886778438169173,0.2386855639069832,0.1957993161056553,0.1634214755409369,0.1441715831739365,0.1221604248610506,0.1225409255921684,0.1218264275586885,0.1217193030224274,STP
Saudi Arabia,0.5294340861438517,0.5922862219050221,0.6582472148867351,0.7251595555327314,0.791778457705088,0.8580886321193292,0.9250600298321924,0.993572824663194,1.066049918928062,1.143069472339317,1.2247644028216875,1.30824377953143,1.3879620932757235,1.4579503635811055,1.5089308091325957,1.5416863524459314,1.5571291401648606,1.559567851290589,1.5496608037848476,1.5312951713934726,1.5065841314901445,1.4806441462494633,1.4517658998596852,1.426016573480566,1.4048541388428724,1.3829940465327857,1.3658619743476268,1.3491113067309066,SAU
Scotland,0.7286416777574494,1.2014618993368853,1.1496083543529163,1.3894807965179856,1.637947619090769,1.7515479675374537,1.328990570832756,0.8596052448262862,0.5706398731468393,0.5795249777618502,0.5371061026054293,0.625380564837192,0.5716568956881221,0.6851142220266321,0.505358122265188,0.5853263296057467,0.5412197379948456,0.6026977748855232,0.552192478976064,0.5764204183005076,0.5831835124537269,0.4707591378212011,0.4428659135534338,0.4666305141771236,0.4031391032145492,0.4288100823267604,0.4441764488461747,0.4069219646375161,
Senegal,3.2823595709203754,4.619522718730905,6.2944500596070885,8.315172489106612,10.661990347199229,13.313976185288883,16.202450082194442,19.261024457374702,22.375817694474726,25.448685531374107,28.43394945681353,31.239299636793024,33.71797814707292,35.8779096785961,37.64246239067164,38.909993432050506,39.70478282125311,36.88698459152783,31.714593563593724,29.09782779475184,26.81533420234808,24.952544025937925,24.40214420460862,23.5036022476676,21.202179064332483,18.85078968208837,16.636231742571024,14.78612519286319,SEN
Serbia,0.3218341434544591,0.3743835779008497,0.3947492579601267,0.4195955943915537,0.4441793979819284,0.4464405252989125,0.4537236973424864,0.450120068006616,0.4089614013794367,0.4616585284989888,0.4648178780865427,0.4898381216419964,0.5609394915561873,0.6586947756506439,0.6782939342032006,0.6192164291740992,0.6009823203813919,0.6079951604963055,0.6068828866565967,0.6434188290151865,0.6657616335050665,0.7792277128364152,0.8719823102864759,0.8855736209132246,0.8538458041446413,0.8306422536268069,0.7877725230424828,0.7364141671280343,SRB
Seychelles,0.6139480140376299,0.9843464578958624,1.5165983291678953,2.18347121936418,2.8958832684794524,3.576579095537477,4.15461697297358,4.59368906348988,4.903041246960326,5.103343050484992,5.223591127187428,5.287121105015248,5.309483896504776,5.305667918007285,5.285780839360455,5.253047369866959,5.199025653229888,5.156109109005468,5.057079001499798,5.019126342526555,4.987667422404904,4.964335838339027,4.954076219153856,4.956923291037146,4.965901740604823,4.974132813403922,4.979296772649725,4.983558993082233,SYC
Sierra Leone,0.4614019305597948,0.923411493594402,1.303048871759854,1.846010246346261,2.673401793450493,3.739449799536068,5.217587771741478,7.216938949718952,9.410841701389629,12.589782137917275,16.46933803214874,21.357414471715916,27.067347429262732,33.55886081522129,40.526595574254905,47.54980707285256,54.02790985372911,59.76203269056991,63.70410592910862,65.75510013439072,64.64368276271992,61.54440072544568,58.70241849583784,56.91928526796376,54.07369777618711,49.25878067956424,42.64700047144083,35.11508249917452,SLE
Singapore,0.2464641415515819,0.3167502914189495,0.428730609592918,0.7130981880098552,0.7072857084226831,0.9892843124516122,1.3942432197360404,1.2393195914122286,1.285756854649559,1.3321599232731829,1.3082077847842222,1.5714651609622845,1.4019298738737846,0.9800343122929804,0.7947304039794723,0.7421880226927218,0.680207331285325,0.8879505623013088,0.7093888875476552,0.7267662259336441,0.5768415755401615,0.3246194845518035,0.6038001783325994,0.6577382767948458,0.6856859234987271,0.4632484183388102,0.3962546312832697,0.4530169774418154,SGP
